years,SO2,NO2,O3,PM10,PM2.5,CO,Benzen
2012,20,40,120,40,25,10,5
2013,20,40,120,40,25,10,5
2014,20,40,120,40,25,10,5
2015,20,40,120,40,25,10,5
2016,20,40,120,40,25,10,5
2017,20,40,120,40,25,10,5
2018,20,40,120,40,25,10,5
2019,20,40,120,40,25,10,5
